"","QCOM","NVDA","date","int_date"
"1",0.00306330329188173,-0.0453248253974758,2017-01-03,20170103
"2",0.00106942795802015,0.0230629927981034,2017-01-04,20170104
"3",0.00122125396570748,-0.025713783808267,2017-01-05,20170105
"4",-0.000305046521959705,0.0132784498823367,2017-01-06,20170106
"5",0.00182932576287384,0.0397426922830843,2017-01-09,20170109
"6",-0.000305046521959705,-0.00757864552355035,2017-01-10,20170110
"7",0.00713548179100764,-0.0123803208889521,2017-01-11,20170111
"8",0.000302954104770545,-0.0164912360090611,2017-01-12,20170112
"9",0.0114284458235914,-9.70047048042602e-05,2017-01-13,20170113
"10",-0.0410522293555942,-0.0226864013785543,2017-01-17,20170117
"11",0.0145378120542147,0.018034398233531,2017-01-18,20170118
"12",-0.0106505159255338,0.0212398293205214,2017-01-19,20170119
"13",-0.02450685484441,-0.0109962376230136,2017-01-20,20170120
"14",-0.136078634091217,0.0103304566160169,2017-01-23,20170123
"15",0.00218461199657513,0.02109101265748,2017-01-24,20170124
"16",0.0339617165324068,0.00427684126224111,2017-01-25,20170125
"17",-0.0513859302570676,0.0171088061373671,2017-01-26,20170126
"18",0.00350883682564933,0.0191494728607837,2017-01-27,20170127
"19",-0.0116829810249276,-0.0157808654330416,2017-01-30,20170130
"20",-0.00336365073565981,-0.00766429582350472,2017-01-31,20170131
"21",-0.00525377694854821,0.0427615523612905,2017-02-01,20170201
"22",-0.00926175797389494,0.0125578194871439,2017-02-02,20170202
"23",0.00605860950392061,-0.00879153251937413,2017-02-03,20170203
"24",-0.00188878262739823,0.0252934076866051,2017-02-06,20170206
"25",0.00734793766253825,0.0153948882554335,2017-02-07,20170207
"26",-0.00715856147034137,-0.00437455442601675,2017-02-08,20170208
"27",-0.000189017862750737,-0.0189799857585341,2017-02-09,20170209
"28",0.0209588213912134,-0.0240007269984189,2017-02-10,20170210
"29",0.0170753823303729,-0.0472163532597678,2017-02-13,20170213
"30",0.00996320205746254,0.00368420497465946,2017-02-14,20170214
"31",0.0180412731006375,0.00201995850946601,2017-02-15,20170215
"32",0.00688027652067644,-0.0161852778009719,2017-02-16,20170216
"33",-0.00741139667601889,-0.000186017300145271,2017-02-17,20170217
"34",0.00512285573874062,0.0351846947620386,2017-02-21,20170221
"35",0.00614806187655528,-0.0015321731780766,2017-02-22,20170222
"36",0.000700754414263761,-0.0973074730672495,2017-02-23,20170223
"37",0.00139902091370741,0.00960670746497765,2017-02-24,20170224
"38",0.000698755813284389,0.0286613122392108,2017-02-27,20170227
"39",-0.00441673944953623,-0.0284632625643424,2017-02-28,20170228
"40",0.00934024379780216,0.0128263890497556,2017-03-01,20170301
"41",-0.0112894871227989,-0.0375679197690742,2017-03-02,20170302
"42",0.00124122935602718,-0.00577464119273813,2017-03-03,20170303
"43",0.000176984337348259,-0.00775096124063128,2017-03-06,20170306
"44",0.00494773972393365,0.0108954286619611,2017-03-07,20170307
"45",0.0181659946256229,-0.00182466368674144,2017-03-08,20170308
"46",0.00345602107338891,-0.000203020607288853,2017-03-09,20170309
"47",0.0114917165650468,0.00586874517681934,2017-03-10,20170310
"48",-0.00307472211707622,0.027169542465264,2017-03-13,20170313
"49",-0.00411344864154242,-0.000687236092636613,2017-03-14,20170314
"50",0.00513976872985816,0.00753652888665735,2017-03-15,20170315
"51",-0.00290922770213502,0.0122121274972365,2017-03-16,20170316
"52",-0.0138048499765589,0.0215373962238809,2017-03-17,20170317
"53",0.00450782447516931,0.0313688136675439,2017-03-20,20170320
